name,dob
Robert De Niro,1943-08-17
Jack Nicholson,1937-04-22
Tom Hanks,1956-07-09
Marlon Brando,1924-04-03
Leonardo Di Caprio,1974-11-11
Humphrey Bogart,1899-12-25
Johnny Depp,1963-06-09
Al Pacino,1940-04-25
Denzel Washington,1954-12-28
Laurence Olivier,1907-05-22
Brad Pitt,1963-12-18
Daniel Day-Lewis,1957-04-29
Tom Cruise,1962-07-03
Cary Grant,1904-01-18
Dustin Hoffman,1937-08-08
Clark Gable,1901-02-01
Sean Penn,1960-08-17
Christian Bale,1974-01-30
Gregory Peck,1916-04-05
Harrison Ford,1942-07-13
Spencer Tracy,1900-04-05
George Clooney,1961-05-06
Charlton Heston,1924-10-04
Anthony Hopkins,1937-12-31
Russell Crowe,1964-04-07
Katharine Hepburn,1907-05-12
Meryl Streep,1949-06-22
Ingrid Bergman,1915-08-29
Marilyn Monroe,1926-06-01
Jennifer Lawrence,1990-08-15
Kate Winslet,1975-10-05
Elizabeth Taylor,1932-02-27
Cate Blanchett,1969-05-14
Audrey Hepburn,1929-05-04
Helen Mirren,1945-07-26
Bette Davis,1908-04-05
Nicole Kidman,1967-06-20
Sandra Bullock,1964-07-26
Natalie Portman,1981-06-09
Jodie Foster,1962-11-19
Judi Dench,1934-12-09
Amy Adams,1974-08-20
Julia Roberts,1967-10-28
Emma Thompson,1959-04-15
Diane Keaton,1946-01-05
Grace Kelly,1929-11-12
Shirley MacLaine,1934-04-24
Reese Witherspoon,1976-03-22
Charlize Theron,1975-08-07
Judy Garland,1922-06-10
John Wayne,1907-05-26
Sidney Poitier,1927-02-20
Paul Newman,1925-01-26
Matt Damon,1970-10-08
Robert Duvall,1931-01-05
James Dean,1990-01-01
Kirk Douglas,1916-12-09
Henry Fonda,1905-05-16
Robin Williams,1951-07-21
Orson Welles,1915-05-06
Christoph Waltz,1956-10-04
Heath Ledger,1979-04-04
Sean Connery,1930-08-25
Kevin Spacey,1959-07-26
Gene Hackman,1930-01-30
Liam Neeson,1952-06-07
Edward Norton,1969-08-18
Bruce Willis,1955-03-19
Gary Cooper,1901-05-07
Philip Seymour Hoffman,1967-07-23
Robert Redford,1936-08-18
Ralph Fiennes,1962-12-22
Joaquin Phoenix,1974-10-28
Will Smith,1968-09-25
Steve McQueen,1990-01-01
Vivien Leigh,1913-11-05
Angelina Jolie,1975-06-04
Anne Hathaway,1982-11-12
Maggie Smith,1934-12-28
Olivia de Havilland,1916-07-01
Barbara Stanwyck,1907-07-16
Joan Fontaine,1917-10-22
Greer Garson,1904-09-29
Faye Dunaway,1941-01-14
Susan Hayward,1917-06-30
Ellen Burstyn,1932-12-07
Jane Wyman,1917-01-05
Sophia Loren,1934-09-20
Joan Crawford,1905-03-23
Kathy Bates,1948-06-28
Julie Andrews,1935-10-01
Marion Cotillard,1975-09-30
Deborah Kerr,1921-09-30
Sissy Spacek,1949-12-25
Susan Sarandon,1946-10-04
Luise Rainer,1910-01-12
Glenn Close,1947-03-19
Doris Day,1990-01-01
Natalie Wood,1938-07-20
Jane Fonda,1937-12-21
Jeff Bridges,1949-12-04
Chiwetel Ejiofor,1990-01-01
Ben Kingsley,1943-12-31
Tommy Lee Jones,1946-09-16
Samuel L. Jackson,1948-12-21
Jack Lemmon,1925-02-08
Joe Pesci,1943-02-09
Christopher Plummer,1929-12-13
George C. Scott,1927-10-18
Morgan Freeman,1937-06-01
Christopher Walken,1943-03-31
John Travolta,1954-02-18
James Stewart,1990-01-01
Matthew McConaughey,1969-11-04
Peter O'Toole,1990-01-01
James Cagney,1899-07-17
Ian McKellen,1939-05-25
John Cusack,1966-06-28
Bill Murray,1950-09-21
Robert Downey Jr.,1965-04-04
Nicolas Cage,1964-01-07
Gene Wilder,1933-06-11
Kevin Costner,1955-01-18
Donald Sutherland,1935-07-17
Bruce Dern,1936-06-04
Ava Gardner,1922-12-24
Jennifer Jones,1990-01-01
Sally Field,1946-11-06
Greta Garbo,1905-09-18
Holly Hunter,1958-03-20
Hilary Swank,1974-07-30
Claudette Colbert,1903-09-13
Diane Lane,1990-01-01
Jessica Lange,1990-01-01
Gloria Swanson,1899-03-27
Lauren Bacall,1924-09-16
Frances McDormand,1957-06-23
Norma Shearer,1902-08-10
Bette Midler,1945-12-01
Mary Tyler Moore,1936-12-29
Anna Magnani,1908-03-07
Halle Berry,1966-08-14
Sharon Stone,1958-03-10
Kim Basinger,1953-12-08
Glenda Jackson,1936-05-09
Donna Reed,1921-01-27
Geena Davis,1956-01-21
Demi Moore,1962-11-11
Michelle Pfeiffer,1958-04-29
Liza Minnelli,1946-03-12
Charles Chaplin,1889-04-16
Peter Sellers,1990-01-01
Woody Allen,1935-12-01
Jon Voight,1938-12-29
Mel Gibson,1956-01-03
Jim Carrey,1962-01-17
Mark Wahlberg,1971-06-05
Steve Martin,1945-08-14
Javier Bardem,1969-03-01
Tim Robbins,1958-10-16
Arnold Schwarzenegger,1947-07-30
Sylvester Stallone,1946-07-06
Viggo Mortensen,1958-10-20
Hugo Weaving,1960-04-04
Christopher Lee,1990-01-01
Geoffrey Rush,1951-07-06
Alec Guinness,1914-04-02
Richard Burton,1925-11-10
Alec Baldwin,1958-04-03
James Caan,1940-03-26
Michael Douglas,1944-09-25
Ben Stiller,1965-11-30
Willem Dafoe,1955-07-22
Ed Harris,1950-11-28
Harvey Keitel,1939-05-13
Drew Barrymore,1975-02-22
